Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor,11-1011,287.9,259.1,-28.7,-10,13.9,"184,460",Bachelor's degree,3,5 years or more,1,None,6
"Pediatricians, general",29-1221,32.5,32,-0.5,-1.6,0.8,"175,310",Doctoral or professional degree,1,None,4,Internship/residency,1
Nurse anesthetists    * Certified Registered Nurse Anesthetist* Certified Registered Nurse Anesthetist (CRNA)* DNAP* Doctor of Nurse Anesthesia Practice* Nurse Anesthetist,29-1151,44.9,51,6.2,13.7,2.9,"174,790",Master's degree,2,None,4,None,6
"Dentists, general    * Family Dentist",29-1021,132.1,135.7,3.7,2.8,4.2,"155,600",Doctoral or professional degree,1,None,4,None,6
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot",53-2011,85.5,87.9,2.4,2.8,8.3,"147,220",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist",29-1029,6.2,6.2,0,0.2,0.2,"147,220",Doctoral or professional degree,1,None,4,Internship/residency,1
Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,11-3021,461,509.2,48.1,10.4,36.8,"146,360",Bachelor's degree,3,5 years or more,1,None,6
Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager,11-9041,198.1,203.2,5.1,2.6,12.5,"144,830",Bachelor's degree,3,5 years or more,1,None,6
Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer,17-2171,33.4,34.4,1.1,3.2,2.1,"137,720",Bachelor's degree,3,None,4,None,6
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge",23-1023,29.9,30.9,1,3.4,1.4,"136,910",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing,11-2021,286.3,305.4,19.1,6.7,24.6,"136,850",Bachelor's degree,3,5 years or more,1,None,6
Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,11-3031,697.9,806,108.1,15.5,59.6,"129,890",Bachelor's degree,3,5 years or more,1,None,6
Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator,11-9121,71.4,74.8,3.4,4.8,4.9,"129,100",Bachelor's degree,3,5 years or more,1,None,6
Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist,29-1051,321.7,311.2,-10.5,-3.3,11.2,"128,090",Doctoral or professional degree,1,None,4,None,6
Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager,11-2022,433.8,449.2,15.4,3.5,35.3,"126,640",Bachelor's degree,3,Less than 5 years,2,None,6
Podiatrists    * Chiropodist* Doctor of Podiatric Medicine* Foot Doctor* Foot Orthopedist* Foot and Ankle Surgeon* Orthopedic Podiatrist* Podiatric Physician,29-1081,10.5,10.6,0,0.2,0.5,"126,240",Doctoral or professional degree,1,None,4,Internship/residency,1
Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,11-2011,28.6,28.3,-0.3,-1.1,2.5,"125,510",Bachelor's degree,3,Less than 5 years,2,None,6
Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,53-2021,24.3,24.5,0.1,0.5,2,"122,990",Associate's degree,4,None,4,Long-term on-the-job training,3
Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer,23-1011,813.9,846.3,32.3,4,39.9,"122,960",Doctoral or professional degree,1,None,4,None,6
Physicists    * Fluid Dynamicist* Health Physicist* Mathematical Physicist* Medical Physicist* Molecular Physicist* Nuclear Physicist* Optical Scientist* Research Physicist* Rheologist* Thermodynamic Physicist* Thermodynamicist,19-2012,18.2,19.5,1.3,7.3,1.3,"122,850",Doctoral or professional degree,1,None,4,None,6
Computer and information research scientists,15-1221,32.7,37.7,5,15.4,3,"122,840",Master's degree,2,None,4,None,6
Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator,11-3111,18,18.4,0.5,2.5,1.3,"122,270",Bachelor's degree,3,5 years or more,1,None,6
Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher,19-3094,7,7.4,0.4,6.1,0.7,"122,220",Master's degree,2,None,4,None,6
Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager,11-3061,76.9,78.9,2,2.6,5.6,"121,110",Bachelor's degree,3,5 years or more,1,None,6
Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer,17-2061,71.1,72.2,1.1,1.6,4.9,"117,220",Bachelor's degree,3,None,4,None,6
Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager,11-3121,165.2,175.6,10.4,6.3,13.3,"116,720",Bachelor's degree,3,5 years or more,1,None,6
Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,17-2011,66.4,68.2,1.9,2.8,3.9,"116,500",Bachelor's degree,3,None,4,None,6
Public relations and fundraising managers,11-2030,88,96.1,8.1,9.2,7.6,"116,180",Bachelor's degree,3,5 years or more,1,None,6
Optometrists    * Doctor of Optometry* Optometrist,29-1041,44.4,46.3,1.9,4.3,1.5,"115,250",Doctoral or professional degree,1,None,4,None,6
Astronomers    * Astronomer* Astrophysicist,19-2011,2.3,2.4,0.1,2.4,0.1,"114,590",Doctoral or professional degree,1,None,4,None,6
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor",25-1112,21.3,22.8,1.5,6.9,1.8,"113,530",Doctoral or professional degree,1,Less than 5 years,2,None,6
Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer,17-2161,16.4,14.3,-2.1,-12.6,0.7,"113,460",Bachelor's degree,3,None,4,None,6
Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager,11-3131,42.3,45.4,3.1,7.3,3.7,"113,350",Bachelor's degree,3,5 years or more,1,None,6
Computer network architects,15-1241,160.1,168.1,8,5,10,"112,690",Bachelor's degree,3,5 years or more,1,None,6
Physician assistants    * Anesthesiologist Assistant* Certified Physician's Assistant* Family Practice Physician Assistant* Orthopaedic Physician Assistant* Orthopedic Physician Assistant* Pediatric Physician Assistant* Radiology Practitioner Assistant* Surgical Physician Assistant,29-1071,125.5,164.8,39.3,31.3,11.4,"112,260",Master's degree,2,None,4,None,6
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,"1,189.20","1,167.50",-21.7,-1.8,74.5,"110,630",Bachelor's degree,3,Less than 5 years,2,None,6
"Physical scientists, all other    * Physical Scientist",19-2099,22.8,22.1,-0.7,-3,1.5,"109,910",Bachelor's degree,3,None,4,None,6
Nurse practitioners    * Acute Care Nurse Practitioner* Adult Nurse Practitioner* Cardiology Nurse Practitioner* Certified Nurse Practitioner* Certified Pediatric Nurse Practitioner* Certified Registered Nurse Practitioner* Dermatology Nurse Practitioner* Electrophysiology Nurse Practitioner* Emergency Medicine Nurse Practitioner* Family Health Nurse Practitioner* Family Practice Nurse Practitioner* Gastroenterology Nurse Practitioner* Gerontological Nurse Practitioner* Internal Medicine Nurse Practitioner* NP* Neurosurgical Nurse Practitioner* Nurse Practitioner* Obstetrics-Gynecology Nurse Practitioner* Orthopedic Nurse Practitioner* Palliative Care Nurse Practitioner* Pediatric Nurse Practitioner* Surgical Nurse Practitioner,29-1171,211.3,322,110.7,52.4,24.2,"109,820",Master's degree,2,None,4,None,6
Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer,17-2041,32.6,34,1.4,4.4,2,"108,770",Bachelor's degree,3,None,4,None,6
Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,15-2011,27.7,32.6,4.9,17.6,2,"108,350",Bachelor's degree,3,None,4,Long-term on-the-job training,3
Software developers and software quality assurance analysts and testers,15-1256,"1,469.20","1,785.20",316,21.5,131.4,"107,510",Bachelor's degree,3,None,4,None,6
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer",17-2072,134.9,136.8,1.9,1.4,8.2,"105,570",Bachelor's degree,3,None,4,None,6
Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager,11-3051,190.1,191.9,1.7,0.9,11.7,"105,480",Bachelor's degree,3,5 years or more,1,None,6
Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician* Mathematician,15-2021,2.9,3,0.1,3,0.2,"105,030",Master's degree,2,None,4,None,6
Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM),29-1161,7.2,8.1,0.8,11.6,0.5,"105,030",Master's degree,2,None,4,None,6
Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Economist* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist,19-3011,20.5,23.5,2.9,14.1,1.6,"105,020",Master's degree,2,None,4,None,6
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor",25-1063,16.8,17.6,0.9,5.2,1.4,"104,370",Doctoral or professional degree,1,None,4,None,6
Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer,41-9031,64.5,68.6,4.1,6.3,6.7,"103,900",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychometrist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist",19-3039,19.8,20.2,0.4,2.3,1.2,"101,790",Master's degree,2,None,4,Internship/residency,1
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor",25-1032,44.6,48.4,3.8,8.6,3.8,"101,010",Doctoral or professional degree,1,None,4,None,6
Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager,11-9111,422.3,555.5,133.2,31.5,47,"100,980",Bachelor's degree,3,Less than 5 years,2,None,6
General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager,11-1021,"2,486.40","2,630.20",143.8,5.8,204.4,"100,780",Bachelor's degree,3,5 years or more,1,None,6
Nuclear power reactor operators    * Nuclear Control Room Operator* Nuclear Reactor Operator* Nuclear Station Operator* Reactor Operator,51-8011,5.3,3.4,-1.9,-35.7,0.2,"100,530",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Information security analysts,15-1212,131,171.9,40.9,31.2,13.9,"99,730",Bachelor's degree,3,Less than 5 years,2,None,6
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer",17-2199,170.1,172.3,2.2,1.3,10.3,"99,040",Bachelor's degree,3,None,4,None,6
Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,17-2071,193.1,202.1,9,4.6,12.5,"98,530",Bachelor's degree,3,None,4,None,6
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee",23-1021,15.4,15.4,0,0.3,0.7,"97,870",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
"Health specialties teachers, postsecondary    * Clinical Laboratory Science Professor* Clinical Sciences Professor* Dentistry Professor* Gastroenterology Professor* Neurology Professor* Nutrition Professor* Occupational Therapy Professor* Optometry Professor* Pharmacology Professor* Physical Therapy Professor* Podiatric Medicine Professor* Podiatry Professor* Public Health Professor",25-1071,254,306.1,52.1,20.5,26,"97,320",Doctoral or professional degree,1,Less than 5 years,2,None,6
Administrative services and facilities managers,11-3010,325.9,347,21.2,6.5,26.3,"96,940",Bachelor's degree,3,Less than 5 years,2,None,6
Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist,19-2032,7,7.2,0.2,3.4,0.6,"96,810",Bachelor's degree,3,None,4,None,6
"Education administrators, kindergarten through secondary    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal",11-9032,283.2,294.4,11.1,3.9,20,"96,400",Master's degree,2,5 years or more,1,None,6
Veterinarians    * Animal Pathologist* Animal Surgeon* Doctor of Veterinary Medicine* Doctor of Veterinary Medicine (DVM)* Equine Veterinarian* Large Animal Veterinarian* Poultry Pathologist* Public Health Veterinarian* Small Animal Veterinarian* Veterinary Medicine Scientist* Wildlife Veterinarian,29-1131,89.2,103.4,14.2,15.9,4.5,"95,460",Doctoral or professional degree,1,None,4,None,6
"Education administrators, postsecondary    * Adult Basic Education Manager* Continuing Education Director* Graduate School Dean* Graduate Studies Dean* Provost* University Administrator* University Dean",11-9033,190.5,197.6,7.1,3.7,13.4,"95,410",Master's degree,2,Less than 5 years,2,None,6
Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman,19-2021,9.9,10.6,0.6,6.4,0.9,"95,380",Bachelor's degree,3,None,4,None,6
Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,11-9021,476.7,517.1,40.4,8.5,34.7,"95,260",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Transportation, storage, and distribution managers    * Airport Manager* Cold Storage Supervisor* Distribution Center Manager* Logistics Manager* Logistics Supply Officer* Marine Oil Terminal Superintendent* Traffic Safety Administrator* Transportation Manager* Warehouse Manager* Warehouse Operations Manager",11-3071,139.4,144.3,4.9,3.5,10,"94,560",High school diploma or equivalent,7,5 years or more,1,None,6
Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist,19-1021,34.6,36,1.4,4,2.9,"94,490",Doctoral or professional degree,1,None,4,None,6
"Data scientists and mathematical science occupations, all other",15-2098,33.2,43.4,10.3,30.9,3.6,"94,280",Bachelor's degree,3,None,4,None,6
Art directors    * Art Director* Magazine Designer,27-1011,99.1,97.3,-1.8,-1.8,9.2,"94,220",Bachelor's degree,3,5 years or more,1,None,6
Database administrators and architects,15-1245,132.5,145.3,12.8,9.7,9.9,"93,750",Bachelor's degree,3,None,4,None,6
Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer,17-2131,27.5,27.9,0.4,1.5,1.5,"93,360",Bachelor's degree,3,None,4,None,6
Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist,19-3032,1.1,1.1,0,2.5,0.1,"92,880",Master's degree,2,None,4,Internship/residency,1
Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer,17-2121,11.8,12,0.2,1.5,0.6,"92,400",Bachelor's degree,3,None,4,None,6
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor",25-1051,13.1,13.4,0.2,1.9,1,"92,040",Doctoral or professional degree,1,None,4,None,6
"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist",19-2042,31.8,33.4,1.6,4.9,3,"92,040",Bachelor's degree,3,None,4,None,6
Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,17-2031,21.2,22.2,1,4.7,1.4,"91,410",Bachelor's degree,3,None,4,None,6
"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer",17-2111,26.4,27.5,1,3.9,1.7,"91,410",Bachelor's degree,3,None,4,None,6
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer",17-2151,6.3,6.6,0.3,4.2,0.4,"91,160",Bachelor's degree,3,None,4,None,6
Statisticians    * Analytical Statistician* Applied Statistician* Biometrician* Biostatistician* Environmental Statistician* Mathematical Statistician* Research Biostatistician* Sampling Expert* Statistical Analyst* Statistical Reporting Analyst* Statistician* Survey Statistician* Time Study Statistician,15-2041,42.7,57.5,14.8,34.6,4.9,"91,160",Master's degree,2,None,4,None,6
First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant,33-1012,126.1,132.7,6.6,5.2,8.3,"91,090",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Computer systems analysts,15-1211,632.4,679,46.6,7.4,46.2,"90,920",Bachelor's degree,3,None,4,None,6
Power distributors and dispatchers    * Power System Dispatcher* Steam Plant Control Room Operator* Steam and Power Panel Operator* Substation Operator,51-8012,11.2,10.3,-0.9,-7.7,0.8,"90,700",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Physics teachers, postsecondary    * Aerodynamics Professor* Astrophysics Professor* Atomic Physics Professor* Ballistics Professor* Hydrodynamics Professor* Medical Physics Professor* Nuclear Physics Professor* Physical Science Professor* Thermodynamics Professor",25-1054,17.1,17.8,0.8,4.4,1.4,"89,590",Doctoral or professional degree,1,None,4,None,6
Physical therapists    * Cardiopulmonary Physical Therapist* Geriatric Physical Therapist* Orthopedic Physical Therapist* PT* Pediatric Physical Therapist* Physical Therapist* Physiotherapist* Pulmonary Physical Therapist* Sports Physical Therapist,29-1123,258.2,305.2,47,18.2,15.2,"89,440",Doctoral or professional degree,1,None,4,None,6
Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,17-2081,55.8,57.6,1.7,3.1,3.7,"88,860",Bachelor's degree,3,None,4,None,6
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Clinical Research Scientist* Gerontologist* Histologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist",19-1042,138.3,146.7,8.4,6.1,11.2,"88,790",Doctoral or professional degree,1,None,4,None,6
"Computer occupations, all other",15-1299,431.1,455.8,24.7,5.7,32.3,"88,550",Bachelor's degree,3,None,4,None,6
Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer,17-2141,316.3,328.7,12.4,3.9,19.2,"88,430",Bachelor's degree,3,None,4,None,6
Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer,17-2112,295.8,325.8,30,10.1,21.3,"88,020",Bachelor's degree,3,None,4,None,6
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor",25-1031,8.5,9,0.4,5.1,0.7,"87,900",Doctoral or professional degree,1,None,4,None,6
Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser,13-2052,263,274.6,11.6,4.4,19.2,"87,850",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor",25-1011,105.1,117.7,12.7,12,9.5,"87,200",Doctoral or professional degree,1,None,4,None,6
Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,17-2051,329.2,334.7,5.5,1.7,22.9,"87,060",Bachelor's degree,3,None,4,None,6
Computer programmers,15-1251,213.9,193.8,-20.1,-9.4,10.4,"86,550",Bachelor's degree,3,None,4,None,6
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor",25-1061,7.2,7.5,0.3,4.4,0.6,"86,220",Doctoral or professional degree,1,None,4,None,6
Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot,53-2012,41.6,45.4,3.8,9.1,4.4,"86,080",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Political science teachers, postsecondary    * Government Professor* International Relations Professor* Political Theory Professor* Public Policy Professor",25-1065,19.8,20.8,1,4.9,1.6,"85,930",Doctoral or professional degree,1,None,4,None,6
Radiation therapists    * Dosimetrist* Radiation Therapist* Radiation Therapy Technologist* Registered Radiation Therapist,29-1124,18.5,19.9,1.3,7.1,1,"85,560",Associate's degree,4,None,4,None,6
"Education administrators, all other",11-9039,52.1,56.4,4.2,8.1,4,"85,450",Bachelor's degree,3,Less than 5 years,2,None,6
